Year,  MFJ, MFS, Single, HOH
1970, 1100, 1100, 1100, 1100
1971, 1050, 1050, 1050, 1050
1972, 1300, 1300, 1300, 1300
1973, 1300, 1300, 1300, 1300
1974, 1300, 1300, 1300, 1300
1975, 1900, 1900, 1600, 1600
1976, 2100, 2100, 1700, 1700
1977, 3200, 3200, 2200, 2200
1978, 3200, 3200, 2200, 2200
1979, 3400, 3400, 2300, 2300
1980, 3400, 3400, 2300, 2300
1981, 3400, 3400, 2300, 2300
1982, 3400, 3400, 2300, 2300
1983, 3400, 3400, 2300, 2300
1984, 3400, 3400, 2300, 2300
1985, 3550, 3550, 2400, 2400
1986, 3670, 3670, 2480, 2480
1987, 3760, 3760, 2540, 2540
1988, 5000, 5000, 3000, 4400
1989, 5200, 5200, 3100, 4550
1990, 5450, 5450, 3250, 4750
1991, 5700, 5700, 3400, 5000
1992, 6000, 6000, 3600, 5250
1993, 6200, 6200, 3700, 5450
1994, 6350, 6350, 3800, 5600
1995, 6550, 6550, 3900, 5750
1996, 6700, 6700, 4000, 5900
1997, 6900, 6900, 4150, 6050
1998, 7100, 7100, 4250, 6250
1999, 7200, 7200, 4300, 6350
2000, 7350, 7350, 4400, 6450
2001, 7600, 7600, 4550, 6650
2002, 7850, 7850, 4700, 6900
2003, 9500, 9500, 4750, 7000
2004, 9700, 9700, 4850, 7150
2005, 10000, 10000, 5000, 7300
2006, 10300, 10300, 5150, 7550
2007, 10700, 10700, 5350, 7850
2008, 10900, 10900, 5450, 8000
2009, 11400, 11400, 5700, 8350
2010, 11400, 11400, 5700, 8400
2011, 11600, 11600, 5800, 8500
2012, 11900, 11900, 5950, 8700
2013, 12200, 12200, 6100, 8950
2014, 12400, 12400, 6200, 9100
2015, 12600, 12600, 6300, 9250
2016, 12600, 12600, 6300, 9300
2017, 12700, 12700, 6350, 9350
2018, 24000, 24000, 12000, 18000
2019, 24400, 24400, 12200, 18350
2020, 24800, 24800, 12400, 18650
2021, 25100, 25100, 12550, 18800
2022, 25900, 25900, 12950, 19400
2023, 27700, 27700, 13850, 20800
2024, 29200, 29200, 14600, 21900
